Area,Issue,Spec affected,Effort,Mockup (Y/N),Notes,Status
Admin,Update Mylo_Mocks_Directory.csv file and fix paths,N/A,Low,N,Ensure all mock file paths are current and consistently named,To do
User Role Management,"How will user roles be determined? Is this hardcoded for MVP, passed as props, or stored in state/context?",roles-and-permissions.md,Critical,N,,To do
User Role Management,"Should users be able to switch roles in the same session, or is this determined at login?",roles-and-permissions.md,Medium,N,,To do
User Role Management,What should be the fallback role when no role is specified?,roles-and-permissions.md,Medium,N,,To do
Data Persistence & API Integration,"Are we using mock data, localStorage, or do you have API endpoints ready?",deployment-manual.md,Critical,N,,To do
Data Persistence & API Integration,What exact JSON structure should documents be saved in?,mylo-api-document-save-spec.md,Critical,N,,To do
Data Persistence & API Integration,How are templates stored and retrieved?,mylo-api-template-save-spec.md,Critical,N,,To do
Data Persistence & API Integration,How often should auto-save trigger?,autosave-spec.md,Critical,N,,To do
Template System Specifics,Should there be UI indication when Template Settings change and affect existing styles?,template-settings-spec.md,Medium,Y,,To do
Template System Specifics,What happens if a template is deleted while documents are using it?,template-system-spec.md,High,N,,To do
Template System Specifics,"What are the heuristic rules for determining headings, body text, and callouts?",smart-style-inference-spec.md,Medium,N,,To do
Navigation & Routing,Should each workspace (Contributor/Template Editor/Admin) be separate routes or conditional components?,routing-spec.md,Critical,N,,To do
Navigation & Routing,Do we need URLs for specific documents/templates?,routing-spec.md,Critical,N,,To do
Navigation & Routing,How does login/logout integrate with role-based access?,authentication-spec.md,Critical,N,,To do
Tiptap Integration Specifics,What exact node types should the Tiptap editor support?,editor-spec.md,High,N,,To do
Tiptap Integration Specifics,Which Tiptap extensions are must-have vs nice-to-have for MVP?,editor-spec.md,High,N,,To do
Tiptap Integration Specifics,Any concerns about real-time preview rendering performance?,editor-preview-spec.md,Medium,N,,To do
UI/UX Behavior Details,"At what screen sizes should the layout change (e.g., tablet view)?",responsive-layout-spec.md,Medium,Y,,To do
UI/UX Behavior Details,How should the app handle Tiptap editor crashes or save failures?,error-handling-spec.md,High,N,,To do
UI/UX Behavior Details,What should users see while templates load or documents save?,loading-states-spec.md,Medium,Y,,To do
MVP Scope Boundaries,Should disabled features (like AI classification) show 'Coming Soon' or be completely hidden?,mvp-scope.md,Low,N,,To do
MVP Scope Boundaries,What happens when templates fail to load or apply?,template-system-spec.md,Medium,N,,To do
MVP Scope Boundaries,Any specific browser support requirements?,deployment-manual.md,Low,N,,To do
Data Structure Validation,How detailed should the version history be for MVP?,document-versioning-spec.md,Medium,N,,To do
Data Structure Validation,PDF export - any specific formatting or metadata requirements?,pdf-export-spec.md,High,N,,To do
Data Structure Validation,"Are we starting with system fonts only, or do we need web font loading?",font-handling-spec.md,High,N,,To do
Business Logic,Can Contributors see Template Editor workspaces or vice versa?,roles-and-permissions.md,Medium,N,,To do
Business Logic,Who can access which templates?,template-system-spec.md,Medium,N,,To do
Business Logic,"Is real-time collaboration needed for MVP, or single-user editing only?",collaboration-spec.md,High,N,,To do
Integration Points,Are you planning to use the Supabase integration mentioned in the useful context?,deployment-manual.md,Medium,N,,To do
Integration Points,For images in Template Editor - where should these be stored?,image-handling-spec.md,Medium,N,,To do
Integration Points,PDF generation - client-side or server-side?,pdf-export-spec.md,High,N,,To do
